OCR Text,Ground Text
第,第
一回,一回
灵根育孕源流出心性修持大道生,靈根育孕源流出心性修持大道生
诗曰,詩曰
混沌未分天地乱茫茫渺渺无人见,混沌未分天地亂茫茫渺渺無人見
自从盘古破鸿蒙开辟从兹清浊辨,自從盤古破鴻濛開闢從茲清濁辨
覆载群生仰至仁发明万物皆成善,覆載群生仰至仁發明萬物皆成善
欲知造化会元功须看西游释厄传,欲知造化會元功須看西遊釋厄傳
盖闻天地之数有十二万九千六百岁为一元将一元分为,蓋聞天地之數有十二萬九千六百歲為一元將一元分為
十二会乃子丑寅卯辰已午未申酉戌亥之十二支,十二會乃子丑寅卯辰巳午未申酉戌亥之十二支
也每会该一万八百岁且就一日而论子时得阳气而丑则鸡,也每會該一萬八百歲且就一日而論子時得陽氣而丑則雞
鸣寅不通光而卯则日出辰时食后而已则挨排日午天中而,鳴寅不通光而卯則日出辰時食後而巳則挨排日午天中而
未则西蹉申时晡而日落酉戌黄昏而人定亥譬于大数若到,未則西蹉申時晡而日落酉戌黃昏而人定亥譬於大數若到
戌会之终则天地昏曚而万物否矣再去五千四百岁交亥会之,戌會之終則天地昏曚而萬物否矣再去五千四百歲交亥會之
初则当黑暗而两间四人物俱无矣故曰混沌又五千四百,初則當黑暗而兩間人物俱無矣故曰混沌又五千四百
岁亥会将终贞下起元近子之会而复逐渐开明邵康节,歲亥會將終貞下起元近子之會而復逐漸開明邵康節
曰“冬至子之半天心无改移一阳初动处万物未生时”到,曰冬至子之半天心無改移一陽初動處萬物未生時到
此天始有根再五千四百岁正当子会轻清上腾有日有月,此天始有根再五千四百歲正當子會輕清上騰有日有月
有星有辰日月星辰谓之四象故曰天开于子又经五,有星有辰日月星辰謂之四象故曰天開於子又經五
千四百岁子会将终近丑之会而逐渐坚实易曰“大哉,千四百歲子會將終近丑之會而逐漸堅實易曰大哉
乾元至哉坤元万物资生乃顺承天”至此地始凝结再五,乾元至哉坤元萬物資生乃順承天至此地始凝結再五
千四百岁正当丑会重浊下凝有水有火有山有石有土,千四百歲正當丑會重濁下凝有水有火有山有石有土
水火山石土谓之五形故曰地辟于丑又经五千四百,水火山石土謂之五形故曰地闢於丑又經五千四百
岁丑会终而寅会之初发生万物历曰“天气下降地气上升,歲丑會終而寅會之初發生萬物曆曰天氣下降地氣上升
天地交合群物皆生”至此天清地爽阴阳交合再五千四百,天地交合群物皆生至此天清地爽陰陽交合再五千四百
岁正当寅会生人生兽生禽正谓天地人三才定位故曰,歲正當寅會生人生獸生禽正謂天地人三才定位故曰
人生于寅,人生於寅
感盘古开辟三皇治世五帝定伦世界之间遂分为四大部,感盤古開闢三皇治世五帝定倫世界之間遂分為四大部
洲曰东胜神洲曰西牛贺洲曰南贍部洲曰北俱芦洲这部书,洲曰東勝神洲曰西牛賀洲曰南贍部洲曰北俱蘆洲這部書
单表东胜神洲海外有一国土名曰傲来国国近大海海中,單表東勝神洲海外有一國土名曰傲來國國近大海海中
有一座名山唤为花果山此山乃十洲之祖脉三岛之来龙,有一座名山喚為花果山此山乃十洲之祖脈三島之來龍
自开清浊而立鸿蒙判后而成真个好山有词賦为证赋,自開清濁而立鴻濛判後而成真個好山有詞賦為證賦
曰,曰
势镇汪洋威宁瑶海势镇汪洋潮涌银山鱼入穴威,勢鎮汪洋威寧瑤海勢鎮汪洋潮湧銀山魚入穴威
